,label,model
6936,1,0.917179107666
144585,1,0.842129170895
118075,1,0.876116156578
71765,1,0.879483819008
104186,1,0.932021379471
105977,1,0.812012195587
189581,1,0.858056128025
172768,1,0.949037313461
144114,1,0.898710906506
130143,1,0.837093353271
74565,1,0.882250130177
46151,1,0.804312050343
17325,1,0.870118677616
204288,0,0.828243196011
1986,1,0.922020792961
81784,1,0.93186211586
31457,1,0.861140191555
82065,1,0.846278190613
104523,1,0.864116132259
16170,1,0.914930403233
18702,1,0.803028762341
166281,1,0.895905017853
191919,1,0.740145742893
185803,1,0.945518493652
54756,1,0.842922925949
75555,1,0.862785577774
105606,1,0.802943885326
92227,1,0.906008899212
120655,1,0.877262592316
106172,1,0.86675632
180828,0,0.810477375984
63052,1,0.868046760559
199980,1,0.908489525318
184382,1,0.882439851761
143175,1,0.85658878088
41976,1,0.918807506561
144943,1,0.880733430386
101910,1,0.893065094948
13480,1,0.851830601692
47474,0,0.802130162716
191462,1,0.844471633434
35803,1,0.94373857975
110734,1,0.818439722061
17183,1,0.861342012882
52295,1,0.952476918697
110551,1,0.820931494236
62043,1,0.801958441734
177862,0,0.868646264076
51049,1,0.876042425632
114942,0,0.832966864109
54067,0,0.929128825665
69484,1,0.854751050472
16979,1,0.801901996136
133005,1,0.884449839592
200677,1,0.920893311501
79324,0,0.803710579872
69485,1,0.873435199261
140470,1,0.814394891262
99290,1,0.857128679752
23043,1,0.861753165722
198317,1,0.929625332355
144584,1,0.931733906269
124794,1,0.880182385445
156126,1,0.832364916801
162320,1,0.85666435957
15952,1,0.82371789217
13173,1,0.939882457256
191306,1,0.900784611702
193240,1,0.859647572041
68133,1,0.883858084679
200512,1,0.803365528584
14381,1,0.869347810745
144223,1,0.858112215996
110889,1,0.908483326435
165338,1,0.939373910427
31631,0,0.852674484253
84457,1,0.96471875906
46469,0,0.891615271568
138762,1,0.801945507526
85929,1,0.802981257439
171484,1,0.942114472389
114836,1,0.963950991631
11,0,0.849527478218
45033,1,0.921009004116
173865,1,0.819810986519
92067,1,0.843597114086
92074,1,0.928673028946
102963,1,0.858924746513
3493,0,0.924472272396
162795,1,0.946579158306
41048,1,0.858877003193
130759,1,0.869370877743
153562,1,0.923259973526
90333,1,0.952706873417
18527,1,0.882786393166
134600,1,0.802007496357
8261,1,0.85796135664
146581,1,0.916283071041
114961,1,0.889194250107
108529,1,0.865845918655
201844,1,0.962853312492
29331,0,0.895154953003
142562,1,0.869123578072
3835,1,0.852407574654
104311,1,0.831213772297
74636,0,0.801891803741
204517,1,0.847805917263
182228,1,0.874696969986
29782,1,0.856030344963
65277,1,0.925301671028
34047,1,0.890217840672
111382,0,0.822928488255
76434,1,0.850546956062
25035,1,0.849920988083
