,label,model
165767,1,1
132415,1,1
170646,1,1
19373,1,1
140977,1,1
9679,1,1
63234,1,1
106897,1,1
4738,1,1
55045,0,1
84376,1,1
194194,1,1
204456,1,1
118108,1,1
158183,1,1
46386,1,1
111405,0,1
112162,1,1
131339,1,1
192653,1,1
61543,1,1
202453,1,1
124146,0,1
122004,1,1
133047,1,1
126928,1,1
109505,1,1
21369,1,1
190147,1,1
202043,1,1
172829,1,1
12407,1,1
53687,1,1
46858,1,1
54358,0,1
50070,1,1
63079,1,1
135427,0,1
170301,1,1
79885,1,1
162361,1,1
194763,1,1
138535,0,1
41075,1,1
85972,1,1
29805,1,1
102206,1,1
112921,1,1
21099,1,1
14357,1,1
176392,1,1
62315,1,1
194554,1,1
46467,1,1
158611,1,1
155845,1,1
56190,1,1
26788,1,1
127703,1,1
34202,1,1
128047,1,1
72643,1,1
193244,1,1
86362,1,1
105953,1,1
140725,1,1
196543,1,1
203147,0,0
16977,1,1
87642,0,0
41834,1,1
143502,1,1
8018,1,1
197837,1,1
72038,1,0
162277,1,1
183347,1,1
81628,1,1
8034,1,1
169843,0,1
145692,1,1
195356,1,1
129673,1,1
161693,1,1
144649,1,1
155822,1,1
142374,1,1
70419,1,1
44659,1,1
204144,1,1
57086,1,1
25938,1,1
1044,1,1
159336,1,1
5067,1,1
101286,1,1
170037,0,1
119224,0,0
62908,1,1
10431,0,1
121627,0,1
118783,1,1
64804,1,1
184044,1,1
128815,1,1
82041,1,1
20382,0,1
173016,1,1
119383,1,1
151060,1,1
58896,1,1
139751,1,1
116783,0,1
190332,1,1
97336,1,1
25229,1,1
74022,1,1
105994,1,1
52164,1,1
192465,1,1
129444,1,1
121751,1,1
190592,1,1
92146,1,1
138037,1,1
1492,1,1
94047,0,0
90589,0,0
77070,0,1
130961,1,1
150883,1,1
69351,1,1
35028,1,1
46943,1,1
108910,1,1
200344,1,1
70718,1,1
33526,1,1
94080,1,1
102578,1,1
204889,1,1
36705,1,1
208191,1,1
165991,1,1
69343,1,1
111757,1,1
115697,1,1
14567,1,1
193610,1,1
10859,0,1
120389,1,1
56143,1,1
79827,1,1
1419,0,0
100453,1,1
83948,0,0
117582,0,1
12868,1,1
64760,1,1
156355,1,1
111592,1,1
189728,1,1
188044,0,0
141544,1,1
12558,1,1
188148,1,1
42095,1,1
165825,1,1
162988,1,1
86744,1,1
178082,1,1
124024,1,1
159411,1,1
199212,1,1
98804,1,1
116123,1,1
2477,1,1
117724,1,1
24227,1,1
156947,1,1
16293,1,1
41420,1,1
102572,1,1
139441,1,1
101846,1,1
9532,1,1
75780,1,1
115227,0,1
130254,1,0
163784,1,1
201147,1,1
4241,1,1
191084,0,0
176181,0,0
21152,1,1
97177,1,1
150512,1,1
1073,1,1
57078,0,1
100787,1,1
91813,0,1
45127,1,1
158912,1,1
27449,1,1
51968,1,1
187943,1,1
24610,1,1
51850,1,1
29877,1,1
160943,1,1
200687,1,1
158993,1,1
149837,1,1
9899,1,1
121519,1,1
185375,1,1
39953,1,1
75377,1,1
106187,1,0
64623,1,1
123844,1,1
172908,0,1
159514,1,1
168274,1,1
140378,1,1
135518,1,1
76594,1,1
130062,0,1
86792,1,1
45835,1,1
149801,1,1
150835,1,1
65815,1,1
97700,1,1
1489,1,1
21387,1,1
31207,1,1
15436,1,1
42757,0,1
199509,1,1
131810,1,1
184304,1,1
97820,0,1
120374,0,1
198289,1,1
30408,1,1
148622,0,1
2662,1,1
63315,1,1
83033,1,1
95258,1,1
173414,1,1
137050,1,1
1469,0,1
171628,1,1
175281,1,1
64720,1,1
29828,1,1
207042,1,1
150347,1,1
101220,1,1
92611,1,1
84924,1,1
23012,1,1
205733,0,0
114730,1,1
104330,0,0
83440,1,1
154551,1,1
137144,1,1
151173,1,1
2323,1,0
186870,1,1
37646,0,0
124213,1,1
151291,1,1
47671,1,1
55515,1,1
30425,1,1
86373,0,0
192539,1,1
84912,1,0
23181,0,0
65217,1,1
89744,1,1
165563,1,1
122078,1,1
80876,1,1
92768,1,1
161003,1,1
172861,1,1
205035,1,1
111368,1,1
123663,0,1
48867,0,1
184307,1,1
166635,1,1
181461,1,1
170062,1,1
154913,1,1
111273,1,1
117949,1,1
68657,1,1
32673,1,1
94005,1,1
11022,1,1
184176,1,1
31926,0,1
134599,0,1
50985,1,1
32734,1,1
192646,1,1
76529,1,1
64333,1,1
144491,0,0
150381,1,1
4542,0,1
48758,1,0
92250,0,1
191810,0,1
181951,1,1
196344,1,1
21894,0,1
135442,1,1
13351,1,1
144941,1,1
154004,1,1
54981,1,1
70540,1,1
7062,1,0
121756,1,1
101062,1,1
108311,1,1
59549,1,1
103035,1,1
22263,1,1
129473,1,1
163945,1,1
162921,1,1
59754,1,1
164432,1,1
11635,1,1
50090,1,1
61407,1,1
60197,1,1
111932,0,1
100827,1,1
118958,1,1
39451,1,1
174161,1,1
118477,1,1
625,1,1
113483,1,1
129900,1,1
142432,1,1
195813,1,1
50260,1,1
27395,1,1
12864,1,1
195764,1,1
19542,1,1
87740,1,1
135903,1,1
146368,1,1
99557,1,0
9634,1,1
34696,1,1
192388,1,1
94260,0,0
92554,0,1
155656,1,1
153203,0,1
40733,1,1
85063,1,1
182103,1,1
136924,0,0
169560,1,1
106064,1,1
91435,1,1
124436,1,1
34047,1,1
82992,0,1
91995,1,1
46620,1,1
103395,1,1
19491,0,1
85426,1,1
203987,1,1
89564,0,1
19252,1,1
54058,1,1
87437,1,1
174,1,1
87411,1,1
88256,1,0
24867,1,1
73446,1,1
119004,0,1
101803,1,1
99423,0,1
86699,1,1
55280,1,1
146162,1,1
137906,1,1
12300,1,1
101414,0,1
187169,1,0
82323,1,1
49497,0,0
159064,1,1
157495,1,1
142876,1,1
53051,1,1
9360,0,1
141647,1,1
22011,1,1
173150,1,1
169669,1,1
173331,1,1
124995,1,1
86882,1,1
156196,1,1
108156,1,1
72459,1,1
79723,1,1
205249,1,1
172111,1,1
203438,1,1
135296,1,1
137313,0,1
207328,1,1
200586,1,1
4212,1,1
154290,1,1
107140,1,1
11376,1,1
86892,0,1
79184,1,1
42826,1,1
94630,1,1
48465,1,1
73581,1,1
194166,1,1
128019,1,1
40226,1,1
107966,1,0
10130,1,1
208783,1,1
63076,1,1
67473,1,1
193388,1,1
167033,1,1
18796,1,1
99076,1,1
8253,1,1
72413,1,1
194456,1,1
108127,1,1
85116,1,1
203743,1,1
35927,1,1
33329,1,1
32007,1,1
192581,1,1
174496,1,1
14254,1,1
127834,1,1
55710,1,1
88007,1,1
88052,1,1
23268,1,1
35961,1,1
34724,1,1
170310,1,1
67845,1,1
174388,1,1
165693,1,1
97846,1,1
20884,1,1
65252,0,0
183017,1,1
25426,0,1
67283,1,1
77093,1,1
200567,0,0
140488,1,1
32295,1,1
66239,1,1
104451,1,1
113517,1,1
104463,1,1
3190,1,1
53632,1,1
42960,1,1
199117,1,1
76257,1,1
25512,1,1
135781,1,1
42609,1,1
77934,1,1
208785,1,1
88231,1,1
48147,1,1
169792,1,1
46687,1,1
