,label,model
122174,1,1
25936,1,1
151621,1,1
36112,1,1
127942,1,0
45838,1,1
46608,1,1
74216,1,1
114907,1,1
144908,1,1
153059,1,1
30561,1,1
182319,1,1
144028,1,1
15077,1,1
201883,1,1
112147,1,1
22818,1,1
107525,1,1
31738,1,1
31745,1,1
39596,0,1
197793,0,0
205101,1,1
21192,1,1
99967,0,1
192473,1,1
111428,0,1
44664,1,1
137964,0,1
182874,1,1
102259,1,1
170771,1,1
199984,1,1
103997,1,1
150223,1,1
73615,1,1
127003,1,1
37893,1,1
37867,1,1
179406,1,1
160341,1,1
203990,1,1
111580,1,1
74739,0,0
112795,1,1
150690,0,0
195723,0,0
117244,1,1
69825,0,0
121160,1,1
209128,1,1
99998,1,1
35362,1,1
199511,1,1
145684,1,1
80425,0,0
10182,1,1
170695,1,1
12761,1,1
92404,1,1
143000,1,1
119973,1,1
136992,0,1
187383,1,1
159174,1,1
157095,1,1
39136,1,1
99972,1,1
103811,1,1
142465,1,1
184956,1,1
150580,1,1
199566,1,1
194478,1,1
175191,0,0
2241,1,1
115507,1,1
100603,1,1
201354,1,1
163588,1,1
131141,1,1
189881,1,1
47745,1,1
171090,1,1
109386,0,1
187693,1,1
50405,1,0
111507,1,1
153809,1,1
34017,1,1
62201,1,1
54422,1,1
205746,1,1
142264,1,1
152922,1,1
171826,1,1
36848,1,1
33507,1,1
163626,1,1
2321,1,0
138209,0,1
114847,1,1
155397,1,1
79751,1,1
165769,1,1
156356,1,1
124045,0,0
173423,1,1
87277,1,1
162909,0,0
109927,1,1
203059,1,1
67239,1,1
202150,1,1
114409,1,1
42962,1,1
194371,1,1
87063,1,1
65866,1,1
137011,1,1
122180,1,1
106256,1,1
123901,1,1
180136,1,1
4315,0,0
94540,1,1
118865,1,1
2606,1,1
57821,1,1
177217,1,1
171650,1,1
93104,1,1
866,0,1
170686,1,1
85938,1,1
41412,0,1
27359,1,1
198768,1,1
116670,1,1
98852,0,1
60431,0,1
12829,1,1
184074,1,1
16247,1,1
63818,1,1
92150,1,1
191418,1,1
77169,0,0
12385,1,1
43815,1,1
65842,1,1
188042,1,1
110443,1,1
11830,1,1
116337,1,1
135671,1,1
12378,1,1
46571,1,1
102398,1,1
71159,1,1
62354,1,1
139697,1,1
110115,1,1
30658,1,1
6538,1,1
18796,1,1
165716,1,1
145810,1,1
5208,1,1
8461,0,1
41620,1,1
138376,1,1
45192,1,1
53216,1,0
128585,1,1
130149,1,1
36780,1,1
69976,1,1
200780,1,1
49180,1,1
87574,1,1
141494,1,1
31035,1,1
61,1,1
177255,1,1
27582,1,1
198658,1,1
87759,1,1
121608,1,1
116907,1,1
147852,0,1
54699,1,1
178933,1,1
179759,1,1
53238,0,1
154555,1,1
44895,1,1
58272,1,1
21713,1,1
120761,1,1
88999,1,1
102464,1,1
22766,1,1
9916,1,1
122307,1,1
32995,1,1
28568,1,1
194356,0,0
63563,0,1
100450,1,1
83642,1,1
18463,1,1
176297,1,1
56709,1,1
135979,1,1
144035,1,1
45033,1,1
128795,0,0
168422,1,1
209472,1,1
83081,1,1
13462,1,1
32604,1,1
106543,1,1
152899,1,1
160790,1,1
52867,1,1
57941,1,1
124627,1,1
66477,1,1
59174,0,1
96628,0,0
168859,1,0
146016,0,0
117459,1,1
62718,1,1
111793,1,1
89045,0,0
162844,1,1
87986,1,1
204471,1,1
184460,1,1
113544,1,1
192284,1,0
171283,1,1
121790,1,1
117285,1,1
81803,1,1
18952,0,0
41177,1,1
88902,1,1
16922,1,1
165135,1,1
86708,1,1
1173,1,1
168838,1,1
73135,1,1
