,label,model
122174,1,0.999089837074
25936,1,0.602365374565
151621,1,0.999758422375
36112,1,0.93358039856
127942,1,0.422513902187
45838,1,0.703271090984
46608,1,0.995304465294
74216,1,0.999116718769
114907,1,0.9940751791
144908,1,0.989745616913
153059,1,0.998545885086
30561,1,0.97383749485
182319,1,0.865027725697
144028,1,0.997841596603
15077,1,0.881884515285
201883,1,0.562434613705
112147,1,0.903706550598
22818,1,0.981915831566
107525,1,0.941547870636
31738,1,0.930039227009
31745,1,0.977001965046
39596,0,0.537027657032
197793,0,0.0673480853438
205101,1,0.992475092411
21192,1,0.994345486164
99967,0,0.777493715286
192473,1,0.682083070278
111428,0,0.557126045227
44664,1,0.990685880184
137964,0,0.790185034275
182874,1,0.997916042805
102259,1,0.862459421158
170771,1,0.963902592659
199984,1,0.914791703224
103997,1,0.936106324196
150223,1,0.983338057995
73615,1,0.95457649231
127003,1,0.92121219635
37893,1,0.999689817429
37867,1,0.938962578773
179406,1,0.904298961163
160341,1,0.983712911606
203990,1,0.910401523113
111580,1,0.817274272442
74739,0,0.0230159759521
112795,1,0.923066318035
150690,0,0.301360964775
195723,0,0.359902262688
117244,1,0.690608203411
69825,0,0.390807390213
121160,1,0.765178740025
209128,1,0.999468743801
99998,1,0.959374547005
35362,1,0.99684971571
199511,1,0.999888539314
145684,1,0.98793053627
80425,0,0.0952349379659
10182,1,0.879440128803
170695,1,0.966466784477
12761,1,0.971747100353
92404,1,0.982429265976
143000,1,0.997530639172
119973,1,0.991041839123
136992,0,0.871401429176
187383,1,0.761094093323
159174,1,0.997574150562
157095,1,0.946438908577
39136,1,0.985523998737
99972,1,0.922218978405
103811,1,0.987094342709
142465,1,0.999784290791
184956,1,0.985415995121
150580,1,0.751654028893
199566,1,0.792537689209
194478,1,0.939329385757
175191,0,0.275189965963
2241,1,0.963084220886
115507,1,0.999340951443
100603,1,0.878231942654
201354,1,0.993554592133
163588,1,0.983041763306
131141,1,0.999110519886
189881,1,0.983573794365
47745,1,0.996137797832
171090,1,0.994038462639
109386,0,0.989547371864
187693,1,0.999385118484
50405,1,0.402708023787
111507,1,0.976483762264
153809,1,0.985097408295
34017,1,0.947195112705
62201,1,0.985268294811
54422,1,0.99620193243
205746,1,0.985729575157
142264,1,0.729274153709
152922,1,0.978172779083
171826,1,0.660658836365
36848,1,0.941292107105
33507,1,0.910424053669
163626,1,0.507622897625
2321,1,0.327540159225
138209,0,0.845990896225
114847,1,0.56798517704
155397,1,0.93734395504
79751,1,0.96280092001
165769,1,0.994124352932
156356,1,0.982715070248
124045,0,0.446096807718
173423,1,0.904714822769
87277,1,0.931474745274
162909,0,0.0936202481389
109927,1,0.966568887234
203059,1,0.974549233913
67239,1,0.999626398087
202150,1,0.998231351376
114409,1,0.958665847778
42962,1,0.939835846424
194371,1,0.971522808075
87063,1,0.998356759548
65866,1,0.998044967651
137011,1,0.967460393906
122180,1,0.950047314167
106256,1,0.999455869198
123901,1,0.948733747005
180136,1,0.996186316013
4315,0,0.0966390669346
94540,1,0.999073982239
118865,1,0.997223138809
2606,1,0.97642159462
57821,1,0.967416763306
177217,1,0.999441206455
171650,1,0.985995471478
93104,1,0.975463092327
866,0,0.76359307766
170686,1,0.98824441433
85938,1,0.887788236141
41412,0,0.673793971539
27359,1,0.979854643345
198768,1,0.876913309097
116670,1,0.972967088223
98852,0,0.640339314938
60431,0,0.869293928146
12829,1,0.77361702919
184074,1,0.972838580608
16247,1,0.999051392078
63818,1,0.85683786869
92150,1,0.854573071003
191418,1,0.986608803272
77169,0,0.345119804144
12385,1,0.811286330223
